iter	Passed	Remaining
594	53998	36755
595	54095	36668
596	54205	36590
597	54309	36508
598	54422	36433
599	54519	36346
600	54612	36256
601	54694	36159
602	54783	36068
603	54871	35975
604	54955	35880
605	55062	35799
606	55151	35707
607	55237	35613
608	55334	35526
609	55427	35437
610	55521	35348
611	55618	35261
612	55718	35176
613	55804	35082
614	55890	34988
615	55975	34893
616	56070	34805
617	56160	34714
618	56252	34624
619	56336	34528
620	56426	34437
621	56509	34341
622	56594	34247
623	56689	34158
624	56778	34066
625	56876	33980
626	56969	33890
627	57059	33799
628	57148	33707
629	57236	33615
630	57326	33523
631	57419	33434
632	57498	33336
633	57584	33242
634	57674	33151
635	57756	33055
636	57848	32965
637	57945	32878
638	58032	32785
639	58133	32700
640	58234	32614
641	58335	32529
642	58433	32442
643	58517	32348
644	58598	32252
645	58681	32156
646	58760	32059
647	58844	31965
648	58924	31868
649	59010	31775
650	59096	31681
651	59183	31588
652	59271	31496
653	59364	31406
654	59470	31324
655	59602	31254
656	59729	31183
657	59828	31096
658	59920	31005
659	60016	30917
660	60112	30829
661	60219	30746
662	60316	30658
663	60422	30575
664	60530	30492
665	60633	30407
666	60770	30339
667	60898	30266
668	61002	30182
669	61095	30091
670	61199	30006
671	61310	29925
672	61415	29840
673	61501	29746
674	61592	29655
675	61689	29566
676	61795	29482
677	61932	29413
678	62042	29330
679	62155	29249
680	62276	29172
681	62369	29081
682	62454	28987
683	62542	28893
684	62649	28809
685	62741	28718
686	62822	28622
687	62926	28536
688	63059	28463
689	63169	28380
690	63260	28288
691	63357	28199
692	63470	28117
693	63567	28028
694	63655	27935
695	63740	27840
696	63838	27752
697	63932	27661
698	64012	27564
699	64106	27474
700	64198	27382
701	64302	27296
702	64397	27206
703	64483	27112
704	64570	27018
705	64660	26926
706	64760	26838
707	64867	26753
708	64953	26659
709	65035	26563
710	65119	26468
711	65203	26374
712	65299	26284
713	65394	26194
714	65485	26102
715	65585	26014
716	65688	25927
717	65777	25834
718	65860	25739
719	65953	25648
720	66044	25556
721	66135	25464
722	66222	25371
723	66305	25276
724	66403	25187
725	66503	25099
726	66606	25011
727	66704	24922
728	66804	24834
729	66919	24751
730	67013	24660
731	67103	24567
732	67197	24477
733	67304	24390
734	67432	24312
735	67528	24222
736	67651	24141
737	67759	24055
738	67850	23963
739	67958	23877
740	68050	23785
741	68155	23698
742	68258	23610
743	68360	23521
744	68443	23426
745	68537	23335
746	68624	23242
747	68718	23151
748	68817	23061
749	68907	22969
750	68989	22874
751	69072	22779
752	69150	22682
753	69251	22593
754	69341	22501
755	69440	22412
756	69541	22322
757	69630	22230
758	69718	22137
759	69807	22044
760	69918	21958
761	70019	21869
762	70103	21775
763	70193	21682
764	70279	21589
765	70363	21494
766	70445	21400
767	70524	21304
768	70607	21209
769	70702	21118
770	70794	21027
771	70884	20934
772	70968	20840
773	71070	20751
774	71173	20663
775	71281	20576
776	71367	20482
777	71455	20389
778	71538	20295
779	71622	20201
780	71703	20106
781	71784	20011
782	71881	19921
783	71969	19828
784	72056	19735
785	72152	19644
786	72256	19556
787	72356	19466
788	72456	19376
789	72540	19282
790	72624	19189
791	72705	19094
792	72785	18999
793	72868	18905
794	72950	18811
795	73039	18718
796	73131	18626
797	73225	18535
798	73326	18446
799	73426	18356
800	73513	18263
801	73606	18172
802	73709	18083
803	73798	17990
804	73882	17897
805	73967	17803
806	74048	17709
807	74126	17614
808	74210	17520
809	74294	17427
810	74375	17332
811	74470	17241
812	74571	17152
813	74666	17061
814	74751	16968
815	74837	16875
816	74932	16784
817	75026	16692
818	75109	16599
819	75191	16505
820	75271	16411
821	75353	16317
822	75446	16225
823	75536	16133
824	75637	16044
825	75748	15956
826	75863	15869
827	75968	15780
828	76071	15691
829	76173	15601
830	76290	15515
831	76387	15424
832	76482	15333
833	76578	15242
834	76668	15149
835	76774	15061
836	76897	14975
837	76990	14883
838	77096	14794
839	77203	14705
840	77298	14614
841	77397	14523
842	77486	14430
843	77584	14340
844	77669	14247
845	77758	14154
846	77840	14060
847	77932	13969
848	78023	13877
849	78111	13784
850	78202	13692
851	78292	13600
852	78390	13509
853	78494	13419
854	78587	13327
855	78682	13236
856	78780	13145
857	78880	13054
858	78967	12962
859	79065	12871
860	79163	12780
861	79263	12689
862	79353	12597
863	79442	12504
864	79542	12414
865	79656	12325
866	79760	12235
867	79863	12145
868	79965	12054
869	80066	11964
870	80164	11872
871	80288	11785
872	80402	11696
873	80496	11604
874	80590	11512
875	80682	11420
876	80769	11328
877	80862	11235
878	80959	11144
879	81059	11053
880	81153	10961
881	81249	10870
882	81349	10779
883	81472	10690
884	81575	10600
885	81664	10507
886	81752	10414
887	81852	10323
888	81940	10231
889	82032	10138
890	82116	10045
891	82218	9954
892	82314	9862
893	82409	9771
894	82508	9679
895	82622	9590
896	82736	9500
897	82824	9407
898	82913	9315
899	82997	9221
900	83093	9130
901	83183	9037
902	83275	8945
903	83387	8855
904	83497	8764
905	83604	8674
906	83744	8586
907	83876	8498
908	83988	8408
909	84086	8316
910	84179	8223
911	84289	8133
912	84388	8041
913	84506	7951
914	84600	7859
915	84693	7766
916	84793	7674
917	84905	7584
918	85013	7493
919	85116	7401
920	85222	7310
921	85331	7218
922	85428	7126
923	85531	7035
924	85625	6942
925	85720	6850
926	85810	6757
927	85908	6665
928	86008	6573
929	86120	6482
930	86230	6390
931	86327	6298
932	86434	6206
933	86555	6116
934	86657	6024
935	86747	5931
936	86842	5838
937	86932	5746
938	87019	5653
939	87109	5560
940	87204	5467
941	87303	5375
942	87416	5283
943	87519	5191
944	87612	5099
945	87710	5006
946	87817	4914
947	87915	4822
948	88006	4729
949	88093	4636
950	88178	4543
951	88266	4450
952	88360	4357
953	88449	4264
954	88547	4172
955	88646	4079
956	88749	3987
957	88843	3895
958	88937	3802
959	89033	3709
960	89134	3617
961	89224	3524
962	89313	3431
963	89397	3338
964	89499	3246
965	89588	3153
966	89689	3060
